timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-03-23T11:00:41Z,bangi-backend-mariadb-1,100.76%,105.8MiB / 160MiB,66.14%,251MB / 2.98MB,10.2MB / 1.29GB,11
2026-03-23T11:00:48Z,agitated_black,0.97%,35.49MiB / 7.655GiB,0.45%,119kB / 163kB,0B / 0B,17
2026-03-23T11:00:48Z,bangi-backend-backend-1,0.01%,52.58MiB / 160MiB,32.86%,212kB / 221kB,205kB / 61.4kB,4
2026-03-23T11:00:48Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:00:48Z,bangi-backend-mariadb-1,107.20%,105.9MiB / 160MiB,66.18%,251MB / 2.98MB,10.6MB / 1.29GB,11
2026-03-23T11:00:55Z,agitated_black,0.79%,35.04MiB / 7.655GiB,0.45%,121kB / 169kB,0B / 0B,17
2026-03-23T11:00:55Z,bangi-backend-backend-1,0.01%,52.58MiB / 160MiB,32.86%,217kB / 223kB,205kB / 61.4kB,4
2026-03-23T11:00:55Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:00:55Z,bangi-backend-mariadb-1,100.53%,105.7MiB / 160MiB,66.09%,251MB / 2.98MB,10.9MB / 1.29GB,11
2026-03-23T11:01:03Z,agitated_black,1.11%,37.16MiB / 7.655GiB,0.47%,125kB / 178kB,0B / 0B,17
2026-03-23T11:01:03Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.98%,226kB / 227kB,205kB / 61.4kB,4
2026-03-23T11:01:03Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:01:03Z,bangi-backend-mariadb-1,108.57%,106.2MiB / 160MiB,66.39%,251MB / 2.99MB,11.3MB / 1.29GB,12
2026-03-23T11:01:11Z,agitated_black,0.94%,42.24MiB / 7.655GiB,0.54%,129kB / 188kB,0B / 0B,17
2026-03-23T11:01:11Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.98%,236kB / 231kB,205kB / 61.4kB,4
2026-03-23T11:01:11Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:01:11Z,bangi-backend-mariadb-1,100.34%,106.2MiB / 160MiB,66.36%,251MB / 2.99MB,11.5MB / 1.29GB,12
2026-03-23T11:01:18Z,agitated_black,0.91%,42.94MiB / 7.655GiB,0.55%,133kB / 200kB,0B / 0B,17
2026-03-23T11:01:18Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.98%,245kB / 234kB,205kB / 61.4kB,4
2026-03-23T11:01:18Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:01:18Z,bangi-backend-mariadb-1,100.26%,106.1MiB / 160MiB,66.34%,251MB / 2.99MB,11.9MB / 1.29GB,12
2026-03-23T11:01:25Z,agitated_black,1.16%,43.75MiB / 7.655GiB,0.56%,138kB / 212kB,0B / 0B,17
2026-03-23T11:01:25Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.98%,257kB / 238kB,205kB / 61.4kB,4
2026-03-23T11:01:25Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:01:25Z,bangi-backend-mariadb-1,100.35%,106.1MiB / 160MiB,66.32%,251MB / 2.99MB,12.2MB / 1.29GB,12
2026-03-23T11:01:33Z,agitated_black,2.17%,47.07MiB / 7.655GiB,0.60%,142kB / 222kB,0B / 0B,17
2026-03-23T11:01:33Z,bangi-backend-backend-1,86.79%,51.29MiB / 160MiB,32.06%,267kB / 242kB,205kB / 61.4kB,4
2026-03-23T11:01:33Z,bangi-backend-landing-renderer-1,0.23%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:01:33Z,bangi-backend-mariadb-1,100.12%,106.2MiB / 160MiB,66.35%,251MB / 2.99MB,12.6MB / 1.29GB,12
2026-03-23T11:01:41Z,agitated_black,1.28%,56.47MiB / 7.655GiB,0.72%,148kB / 236kB,0B / 0B,17
2026-03-23T11:01:41Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.98%,279kB / 246kB,205kB / 61.4kB,4
2026-03-23T11:01:41Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:01:41Z,bangi-backend-mariadb-1,100.33%,106.5MiB / 160MiB,66.56%,251MB / 2.99MB,12.8MB / 1.29GB,13
2026-03-23T11:01:48Z,agitated_black,1.10%,55.87MiB / 7.655GiB,0.71%,152kB / 247kB,0B / 0B,17
2026-03-23T11:01:48Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.98%,290kB / 250kB,205kB / 61.4kB,4
2026-03-23T11:01:48Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:01:48Z,bangi-backend-mariadb-1,100.13%,106.5MiB / 160MiB,66.59%,251MB / 2.99MB,13.1MB / 1.29GB,13
2026-03-23T11:01:55Z,agitated_black,1.01%,56.12MiB / 7.655GiB,0.72%,157kB / 259kB,0B / 0B,17
2026-03-23T11:01:55Z,bangi-backend-backend-1,0.03%,52.94MiB / 160MiB,33.09%,300kB / 253kB,205kB / 61.4kB,5
2026-03-23T11:01:55Z,bangi-backend-landing-renderer-1,0.01%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:01:55Z,bangi-backend-mariadb-1,100.31%,106.5MiB / 160MiB,66.58%,251MB / 2.99MB,13.5MB / 1.29GB,13
2026-03-23T11:02:03Z,agitated_black,1.15%,57.08MiB / 7.655GiB,0.73%,163kB / 274kB,0B / 0B,17
2026-03-23T11:02:03Z,bangi-backend-backend-1,9.11%,55.04MiB / 160MiB,34.40%,313kB / 258kB,205kB / 61.4kB,4
2026-03-23T11:02:03Z,bangi-backend-landing-renderer-1,0.00%,14.31MiB / 64MiB,22.36%,2.71kB / 126B,0B / 4.1kB,6
2026-03-23T11:02:03Z,bangi-backend-mariadb-1,100.21%,106.5MiB / 160MiB,66.59%,251MB / 2.99MB,13.8MB / 1.29GB,13
2026-03-23T11:02:11Z,agitated_black,1.16%,61.64MiB / 7.655GiB,0.79%,169kB / 289kB,0B / 0B,17
2026-03-23T11:02:11Z,bangi-backend-backend-1,0.01%,51.18MiB / 160MiB,31.99%,327kB / 264kB,205kB / 61.4kB,4
